"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"58","LIPIA Adakan Kursus Bahasa Arab Gratis Untuk Pemula http://t.co/XdsoiXK7bK",FALSE,1,NA,2015-04-28 04:32:04,FALSE,NA,"592909118786142210",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",4,FALSE,FALSE,NA,NA
"59","Memahami ""Permainan"" Amerika di Suriah dan Yaman http://t.co/ycZbMswTiA",FALSE,0,NA,2015-04-28 04:32:03,FALSE,NA,"592909116315664385",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",2,FALSE,FALSE,NA,NA
"60","Memahami ""Permainan"" Amerika di Suriah dan Yaman http://t.co/xGzYXeS4m8",FALSE,0,NA,2015-04-28 04:31:35,FALSE,NA,"592908998095020033",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","maspiyungan",3,FALSE,FALSE,NA,NA
"61","LIPIA Adakan Kursus Bahasa Arab Gratis Untuk Pemula http://t.co/LyL6H4qgJc",FALSE,1,NA,2015-04-28 04:31:33,FALSE,NA,"592908988976668673",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","maspiyungan",5,FALSE,FALSE,NA,NA
"62","KAMMI: Semarang Minim Prestasi, Siapa yang Pantas Dievaluasi? http://t.co/BdqpVJtv2K",FALSE,1,NA,2015-04-28 03:26:12,FALSE,NA,"592892545002254336",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",2,FALSE,FALSE,NA,NA
"63","KAMMI: Semarang Minim Prestasi, Siapa yang Pantas Dievaluasi? http://t.co/0gFA77TUDw",FALSE,1,NA,2015-04-28 03:11:47,FALSE,NA,"592888916841242627",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","maspiyungan",2,FALSE,FALSE,NA,NA
"64","Ada Fir'aun dan Namrud di Jakarta http://t.co/oVBcto4461",FALSE,3,NA,2015-04-28 03:11:47,FALSE,NA,"592888915675258880",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","maspiyungan",11,FALSE,FALSE,NA,NA
"65","KAMMI: Semarang Minim Prestasi, Siapa yang Pantas Dievaluasi? http://t.co/ebnVhV7vzB",FALSE,2,NA,2015-04-28 03:01:04,FALSE,NA,"592886218163126273",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","maspiyungan",4,FALSE,FALSE,NA,NA
"66","Ada Fir'aun dan Namrud di Jakarta http://t.co/r5IhkskKPO",FALSE,1,NA,2015-04-28 02:21:06,FALSE,NA,"592876161602052096",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",7,FALSE,FALSE,NA,NA
"67","'Selasa Tanpa Rokok' Ridwan Kamil Didukung Netizen http://t.co/XTRIJFaWmP",FALSE,4,NA,2015-04-28 02:21:06,FALSE,NA,"592876159672688640",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",3,FALSE,FALSE,NA,NA
